,tf,mesen_enriched,strong_lfc,treatment,sig_enrich
0,MYC,True,False,spontaneous,True
1,TWIST1,True,False,spontaneous,True
2,FOXQ1,True,True,spontaneous,True
3,FOXC2,True,False,spontaneous,True
4,FOXO3,True,False,spontaneous,True
5,TWIST2,True,False,spontaneous,True
6,FOXA1,True,False,spontaneous,True
7,KLF8,True,False,spontaneous,True
8,POU5F1,False,True,spontaneous,True
9,FOXD3,False,False,spontaneous,True
10,PRRX1,False,True,spontaneous,True
11,GATA6,False,True,spontaneous,True
12,ZEB2,False,False,spontaneous,True
13,SNAI2,False,True,spontaneous,True
14,FOXA2,False,False,spontaneous,False
15,FOXF1,False,False,spontaneous,False
16,GATA4,False,False,spontaneous,False
17,NOTCH1,False,False,spontaneous,False
18,NOTCH2,False,False,spontaneous,False
19,SOX2,False,False,spontaneous,False
20,SOX9,False,False,spontaneous,False
21,ZEB1,False,False,spontaneous,False
22,ZNF703,False,False,spontaneous,False
23,MYC,True,False,tgfb_induced,True
24,TWIST1,True,False,tgfb_induced,True
25,FOXQ1,True,True,tgfb_induced,True
26,FOXC2,True,False,tgfb_induced,True
27,FOXO3,True,False,tgfb_induced,True
28,TWIST2,True,False,tgfb_induced,True
29,FOXA1,True,False,tgfb_induced,True
30,KLF8,True,False,tgfb_induced,True
31,POU5F1,False,True,tgfb_induced,True
32,FOXD3,False,False,tgfb_induced,True
33,PRRX1,False,True,tgfb_induced,True
34,GATA6,False,True,tgfb_induced,True
35,ZEB2,False,False,tgfb_induced,True
36,SNAI2,False,True,tgfb_induced,True
37,FOXA2,False,False,tgfb_induced,False
38,FOXF1,False,False,tgfb_induced,False
39,GATA4,False,False,tgfb_induced,False
40,NOTCH1,False,False,tgfb_induced,False
41,NOTCH2,False,False,tgfb_induced,False
42,SOX2,False,False,tgfb_induced,False
43,SOX9,False,False,tgfb_induced,False
44,ZEB1,False,False,tgfb_induced,False
45,ZNF703,False,False,tgfb_induced,False
