,bHLH,POU,efficiency,rank
7,Ascl1,Pou4f3,6.06,1
5,Ascl1,Pou4f1,3.59,2
6,Ascl1,Pou4f2,3.23,3
2,Ascl1,Pou3f2,2.02,4
12,Ascl1,Pou5f1,1.52,5
52,Ascl5,Pou4f3,0.95,6
62,Neurog1,Pou3f2,0.77,7
61,Neurog1,Pou3f3,0.66,8
125,Neurod2,Pou4f1,0.63,9
3,Ascl1,Pou3f4,0.59,10
77,Neurog2,Pou3f2,0.56,11
11,Ascl1,Pou1f1,0.52,12
67,Neurog1,Pou4f3,0.43,13
14,Ascl1,None,0.39,14
63,Neurog1,Pou3f4,0.37,15
8,Ascl1,Pou6f1,0.35,16
65,Neurog1,Pou4f1,0.34,17
126,Neurod2,Pou4f2,0.33,18
80,Neurog2,Pou4f1,0.32,19
127,Neurod2,Pou4f3,0.31,20
50,Ascl5,Pou4f1,0.29,21
82,Neurog2,Pou4f3,0.29,22
81,Neurog2,Pou4f2,0.28,23
66,Neurog1,Pou4f2,0.21,24
111,Neurod1,Pou4f2,0.2,25
112,Neurod1,Pou4f3,0.16,26
78,Neurog2,Pou3f4,0.13,27
64,Neurog1,Pou3f1,0.13,28
170,Atoh7,Pou4f1,0.11,29
13,Ascl1,Nr4a2,0.09,30
76,Neurog2,Pou3f3,0.09,31
117,Neurod1,Pou5f1,0.07,32
4,Ascl1,Pou3f1,0.07,33
72,Neurog1,Pou5f1,0.07,34
107,Neurod1,Pou3f2,0.07,35
140,Neurod4,Pou4f1,0.06,36
116,Neurod1,Pou1f1,0.06,37
202,Ptf1a,Pou4f3,0.05,38
87,Neurog2,Pou5f1,0.05,39
201,Ptf1a,Pou4f2,0.04,40
108,Neurod1,Pou3f4,0.04,41
172,Atoh7,Pou4f3,0.04,42
71,Neurog1,Pou1f1,0.03,43
110,Neurod1,Pou4f1,0.03,44
86,Neurog2,Pou1f1,0.03,45
35,Ascl4,Pou4f1,0.02,46
122,Neurod2,Pou3f2,0.02,47
79,Neurog2,Pou3f1,0.02,48
106,Neurod1,Pou3f3,0.02,49
157,Neurod6,Pou4f3,0.02,50
155,Neurod6,Pou4f1,0.02,51
37,Ascl4,Pou4f3,0.02,52
109,Neurod1,Pou3f1,0.01,53
185,Atoh8,Pou4f1,0.01,54
132,Neurod2,Pou5f1,0.01,55
74,Neurog1,None,0.01,56
216,Myf5,Pou4f2,0.01,57
416,Usf2,Pou1f1,0.0,58
488,Hand2,Pou6f1,0.0,59
481,Hand2,Pou3f3,0.0,60
482,Hand2,Pou3f2,0.0,61
483,Hand2,Pou3f4,0.0,62
484,Hand2,Pou3f1,0.0,63
485,Hand2,Pou4f1,0.0,64
486,Hand2,Pou4f2,0.0,65
487,Hand2,Pou4f3,0.0,66
489,Hand2,Pou6f2,0.0,67
480,Hand2,Tfec,0.0,68
490,Hand2,Pou2f1,0.0,69
491,Hand2,Pou1f1,0.0,70
492,Hand2,Pou5f1,0.0,71
380,Hand1,Pou4f1,0.0,72
493,Hand2,Nr4a2,0.0,73
379,Hand1,Pou3f1,0.0,74
494,Hand2,None,0.0,75
381,Hand1,Pou4f2,0.0,76
382,Hand1,Pou4f3,0.0,77
462,Heyl,Pou5f1,0.0,78
